customer_id,total_sales,sales_rank
SM-20320,25043.05,1
TC-20980,19017.847999999998,2
RB-19360,15117.339,3
TA-21385,14595.62,4
AB-10105,14355.610999999997,5
SC-20095,14142.333999999999,6
KL-16645,14071.917,7
HL-15040,12873.297999999999,8
SE-20110,12209.438000000002,9
CC-12370,12129.072,10
TS-21370,11885.871,11
GT-14710,11820.119999999997,12
BM-11140,11609.900000000001,13
SV-20365,11420.645999999997,14
CJ-12010,11079.742,15
CL-12565,10880.545999999998,16
ME-17320,10635.917999999998,17
KF-16285,10604.266,18
BS-11365,10501.652999999998,19
EH-13765,10005.980000000001,20
JL-15835,9403.003,21
GT-14635,9351.211999999998,22
HW-14935,9300.253999999997,23
TB-21400,9012.741999999998,24
PF-19120,8980.496,25
CM-12385,8954.02,26
JD-16150,8828.030499999999,27
JE-15715,8672.163,28
LA-16780,8631.521999999999,29
DR-12940,8350.868,30
NF-18385,8322.826000000001,31
KD-16270,8282.358,32
NC-18535,8241.739,33
KD-16495,8181.256,34
PK-19075,8158.654,35
HM-14860,8148.844800000002,36
SB-20290,8057.890999999999,37
ZC-21910,8021.135000000001,38
JH-15985,7954.998,39
NP-18700,7903.182500000001,40
AH-10690,7888.294000000001,41
JE-15610,7754.976,42
AB-10060,7732.669999999999,43
JW-15220,7721.714,44
JM-15865,7625.076000000002,45
RW-19540,7397.401000000001,46
LC-16885,7396.7739999999985,47
PO-18850,7367.3342,48
BM-11650,7283.817,49
NW-18400,7234.013999999999,50
Dp-13240,7198.760999999999,51
PP-18955,7075.920000000002,52
RH-19510,6962.14,53
MS-17365,6848.31,54
PS-19045,6843.633999999999,55
BB-11545,6765.727999999999,56
FH-14365,6683.659999999999,57
YS-21880,6654.503999999999,58
AR-10540,6608.448,59
GK-14620,6497.27,60
JA-15970,6475.474000000001,61
NM-18445,6459.343999999999,62
JD-15895,6456.456,63
SB-20185,6410.995999999999,64
JE-15745,6400.454999999999,65
JG-15160,6366.391999999999,66
CM-12655,6339.5576,67
VD-21670,6283.354,68
MJ-17740,6282.226,69
BH-11710,6255.351000000001,70
DM-13015,6247.372,71
DR-12880,6247.205999999999,72
RL-19615,6234.909999999999,73
VW-21775,6112.702,74
QJ-19255,6108.338,75
AD-10180,6100.999999999999,76
GM-14695,6049.966000000002,77
CB-12025,6028.226999999999,78
WB-21850,6024.81,79
RM-19675,5967.736,80
KH-16510,5952.859000000002,81
SD-20485,5920.258,82
BF-11170,5907.972,83
SC-20380,5894.183999999999,84
CP-12340,5888.275000000001,85
KH-16690,5867.859,86
CS-12505,5690.054999999999,87
BD-11320,5672.171,88
AM-10705,5653.861999999999,89
RB-19795,5633.315999999999,90
KM-16375,5609.746,91
AA-10315,5563.56,92
SM-20950,5563.392,93
NP-18325,5529.62,94
AC-10450,5527.8460000000005,95
MH-18115,5503.092999999999,96
DP-13390,5480.723999999999,97
EP-13915,5478.0608,98
YC-21895,5454.35,99
SP-20620,5440.319,100
LW-17215,5420.513999999999,101
TS-21205,5371.09,102
TT-21460,5364.808000000001,103
MW-18220,5341.9,104
TP-21415,5329.0048,105
DW-13480,5256.848,106
MW-18235,5253.876,107
HR-14830,5248.786999999999,108
SC-20725,5226.209999999998,109
TW-21025,5164.626,110
CP-12085,5164.101999999999,111
LR-16915,5142.891999999999,112
RP-19390,5142.139999999999,113
MP-18175,5087.92,114
IL-15100,5040.736,115
LB-16795,4985.676,116
DH-13075,4932.871999999999,117
IM-15070,4930.473999999999,118
TT-21070,4915.602,119
KM-16720,4909.472000000001,120
PO-19180,4893.043000000001,121
HK-14890,4877.784,122
AJ-10780,4867.344,123
AH-10210,4805.344,124
RA-19915,4781.367000000001,125
JK-15730,4769.900000000001,126
JK-15640,4752.442000000001,127
BW-11110,4750.357999999999,128
TB-21520,4730.628,129
SA-20830,4708.525500000001,130
ES-14080,4648.516,131
KT-16480,4642.088400000001,132
SC-20050,4624.572000000001,133
DB-13270,4621.656999999999,134
GB-14575,4594.328,135
RB-19465,4556.566000000002,136
AR-10825,4523.335999999999,137
AG-10900,4510.7970000000005,138
SC-20770,4492.656999999999,139
KL-16555,4483.784,140
LC-16930,4481.162,141
AA-10645,4455.895,142
TP-21130,4454.056,143
EM-14140,4438.331999999999,144
MC-17425,4432.138,145
KW-16435,4416.52,146
BD-11500,4408.2970000000005,147
AJ-10795,4391.491,148
AI-10855,4375.785999999999,149
SC-20230,4371.9580000000005,150
GZ-14470,4355.15,151
SR-20740,4345.8859999999995,152
EB-13840,4344.508,153
ND-18370,4281.389,154
MA-17560,4280.620999999999,155
JK-15205,4278.17,156
DB-13060,4265.294000000002,157
TC-21295,4261.852,158
AS-10225,4249,159
TH-21550,4229.5560000000005,160
BE-11335,4204.6759999999995,161
JF-15565,4198.332,162
FH-14275,4190.704,163
MY-18295,4134.396000000001,164
DK-13225,4125.843999999999,165
