row_id,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
1,CA-2016-152156,11/8/2016,11/11/2016,"Second Class",CG-12520,FUR-BO-10001798,261.96,2,0,41.9136
2,CA-2016-152156,11/8/2016,11/11/2016,"Second Class",CG-12520,FUR-CH-10000454,731.94,3,0,219.582
4,US-2015-108966,10/11/2015,10/18/2015,"Standard Class",SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031
8,CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152
11,CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092
12,CA-2014-115812,6/9/2014,6/14/2014,"Standard Class",BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568
14,CA-2016-161389,12/5/2016,12/10/2016,"Standard Class",IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922
17,CA-2014-105893,11/11/2014,11/18/2014,"Standard Class",PK-19075,OFF-ST-10004186,665.88,6,0,13.3176
25,CA-2015-106320,9/25/2015,9/30/2015,"Standard Class",EB-13870,FUR-TA-10000577,1044.63,3,0,240.2649
28,US-2015-150630,9/17/2015,9/21/2015,"Standard Class",TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
36,CA-2016-117590,12/8/2016,12/10/2016,"First Class",GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737
39,CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764
41,CA-2015-117415,12/27/2015,12/31/2015,"Standard Class",SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564
55,CA-2016-105816,12/11/2016,12/17/2016,"Standard Class",JM-15265,TEC-PH-10002447,1029.95,5,0,298.6855
58,CA-2016-111682,6/17/2016,6/18/2016,"First Class",TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098
68,CA-2014-106376,12/5/2014,12/10/2014,"Standard Class",BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024
73,US-2015-134026,4/26/2015,5/2/2015,"Standard Class",JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912
86,CA-2017-140088,5/28/2017,5/30/2017,"Second Class",PO-18865,FUR-CH-10000863,301.96,2,0,33.2156
104,US-2015-156867,11/13/2015,11/17/2015,"Standard Class",LC-16870,TEC-AC-10001552,238.896,6,0.2,-26.8758
110,CA-2015-129476,10/15/2015,10/20/2015,"Standard Class",PA-19060,TEC-AC-10000844,339.96,5,0.2,67.992
118,CA-2015-110457,3/2/2015,3/6/2015,"Standard Class",DK-13090,FUR-TA-10001768,787.53,3,0,165.3813
125,US-2014-152030,12/26/2014,12/28/2014,"Second Class",AD-10180,FUR-CH-10004063,600.558,3,0.3,-8.5794
126,US-2014-134614,9/20/2014,9/25/2014,"Standard Class",PF-19165,FUR-TA-10004534,617.7,6,0.5,-407.682
128,US-2017-107272,11/5/2017,11/12/2017,"Standard Class",TS-21610,OFF-ST-10002974,243.992,7,0.2,30.499
130,US-2016-125969,11/6/2016,11/10/2016,"Second Class",LS-16975,FUR-FU-10003773,238.56,3,0,26.2416
145,CA-2017-155376,12/22/2017,12/27/2017,"Standard Class",SG-20080,OFF-AP-10001058,839.43,3,0,218.2518
146,CA-2015-110744,9/7/2015,9/12/2015,"Standard Class",HA-14920,OFF-ST-10003656,671.93,7,0,20.1579
148,CA-2016-114489,12/5/2016,12/9/2016,"Standard Class",JE-16165,TEC-PH-10000215,384.45,11,0,103.8015
150,CA-2016-114489,12/5/2016,12/9/2016,"Standard Class",JE-16165,FUR-CH-10000454,1951.84,8,0,585.552
158,CA-2014-104269,3/1/2014,3/6/2014,"Second Class",DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764
160,CA-2016-114104,11/20/2016,11/24/2016,"Standard Class",NP-18670,TEC-PH-10004536,944.93,7,0,236.2325
166,CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992
167,CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,OFF-ST-10000991,275.928,3,0.2,-58.6347
168,CA-2014-139892,9/8/2014,9/12/2014,"Standard Class",BM-11140,FUR-CH-10004287,1740.06,9,0.3,-24.858
174,CA-2014-118962,8/5/2014,8/9/2014,"Standard Class",CS-12130,FUR-CH-10003817,340.144,7,0.2,21.259
178,US-2015-101511,11/21/2015,11/23/2015,"Second Class",JE-15745,FUR-CH-10004698,396.802,7,0.3,-11.3372
182,CA-2014-166191,12/5/2014,12/9/2014,"Second Class",DK-13150,TEC-AC-10004659,408.744,7,0.2,76.6395
183,CA-2014-158274,11/19/2014,11/24/2014,"Second Class",RM-19675,TEC-PH-10003273,503.96,4,0,131.0296
190,CA-2015-102281,10/12/2015,10/14/2015,"First Class",MP-17470,FUR-BO-10002613,899.136,4,0.2,112.392
193,CA-2015-102281,10/12/2015,10/14/2015,"First Class",MP-17470,FUR-BO-10002545,626.352,3,0.2,46.9764
206,CA-2017-108329,12/9/2017,12/14/2017,"Standard Class",LE-16810,TEC-PH-10001918,444.768,4,0.2,44.4768
214,CA-2015-146262,1/2/2015,1/9/2015,"Standard Class",VW-21775,FUR-BO-10004695,452.45,5,0.5,-244.323
216,CA-2015-146262,1/2/2015,1/9/2015,"Standard Class",VW-21775,TEC-MA-10000864,1188,9,0.7,-950.4
219,CA-2016-130162,10/28/2016,11/1/2016,"Standard Class",JH-15910,TEC-PH-10002563,302.376,3,0.2,22.6782
224,CA-2015-169397,12/24/2015,12/27/2015,"First Class",JB-15925,TEC-MA-10001148,479.988,4,0.7,-383.9904
227,CA-2015-163055,8/9/2015,8/16/2015,"Standard Class",DS-13180,FUR-TA-10003748,622.45,5,0,136.939
230,US-2015-145436,2/28/2015,3/4/2015,"Standard Class",VD-21670,FUR-CH-10004477,389.696,8,0.2,43.8408
233,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,FUR-TA-10003473,620.6145,3,0.45,-248.2458
235,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,FUR-FU-10004017,258.072,3,0.2,0
236,US-2017-100930,4/7/2017,4/12/2017,"Standard Class",CS-12400,TEC-AC-10003832,617.976,3,0.2,-7.7247
239,CA-2016-157749,6/4/2016,6/9/2016,"Second Class",KL-16645,FUR-FU-10000576,419.68,5,0.6,-356.728
245,CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,FUR-CH-10004063,2001.86,7,0,580.5394
248,CA-2014-131926,6/1/2014,6/6/2014,"Second Class",DW-13480,OFF-AP-10002945,1503.25,5,0,496.0725
250,CA-2016-154739,12/10/2016,12/15/2016,"Second Class",LH-17155,FUR-CH-10002965,321.568,2,0.2,28.1372
252,CA-2016-145625,9/11/2016,9/17/2016,"Standard Class",KC-16540,TEC-AC-10003832,3347.37,13,0,636.0003
254,CA-2016-146941,12/10/2016,12/13/2016,"First Class",DL-13315,OFF-EN-10003296,361.92,4,0,162.864
258,US-2015-159982,11/28/2015,12/4/2015,"Standard Class",DR-12880,TEC-PH-10001580,647.904,6,0.2,56.6916
263,US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997
264,US-2014-106992,9/19/2014,9/21/2014,"Second Class",SB-20290,TEC-MA-10003353,2519.958,7,0.4,-251.9958
265,CA-2016-125318,6/6/2016,6/13/2016,"Standard Class",RC-19825,TEC-PH-10001433,328.224,4,0.2,28.7196
271,CA-2017-163979,12/28/2017,1/2/2018,"Second Class",KH-16690,OFF-ST-10003208,725.84,4,0,210.4936
282,US-2015-161991,9/26/2015,9/28/2015,"Second Class",SC-20725,TEC-PH-10001760,1114.4,7,0.2,376.11
283,CA-2015-130890,11/2/2015,11/6/2015,"Standard Class",JO-15280,FUR-TA-10002903,1038.84,5,0.2,51.942
285,CA-2015-130883,9/26/2015,10/2/2015,"Standard Class",TB-21520,TEC-AC-10001956,239.8,5,0.2,47.96
287,CA-2016-112697,12/18/2016,12/20/2016,"Second Class",AH-10195,OFF-BI-10000778,254.058,7,0.7,-169.372
289,CA-2016-112697,12/18/2016,12/20/2016,"Second Class",AH-10195,OFF-SU-10000646,961.48,5,0.2,-204.3145
292,CA-2016-110772,11/20/2016,11/24/2016,"Second Class",NZ-18565,TEC-AC-10002001,255.984,2,0.2,54.3966
